AR_Ref,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06
PH0001,0.9611270658196657,1.0340029688762602,0.4119843263412192,0.4702696889735588,1.585575668485825,0.039770902260087074,1.6983138393857418,0.15507629774390652,1.1145522346393573,0.8690226859701617,0.5865247174870529,0.4562706533818837,0.6993328705037694,0.8285736336172619,1.0190267573351888,0.2737845730178111,0.06176920286568249,0.8503694604816597,1.463197761458908,1.678856347478146,0.7134787220775284,1.8971340860930304,0.41870486079701397,-0.20539696540430483,1.2433149036165376,0.7405486713179007,1.4354534725475794,0.721738437673683,0.9916003297676264,0.6650319201510123
PH0002,-0.9665447090034417,-0.9434321040232583,-0.9021740642396512,-0.9750218671566349,-0.9274975913068327,-0.8863363937583979,-1.0285123717303604,-0.9383519461453371,-1.0014620229805105,-0.9992031212004582,-0.9321849040299436,-1.0230134725313926,-0.9806150598926137,-0.9727109479999724,-0.8513057825312034,-0.9797409682910103,-0.8870969327046565,-1.0291166737812678,-1.2125568493444718,-0.9540810059050359,-0.8846970385640097,-0.9301956673760375,-1.0608823006090426,-1.0094420665703165,-0.9335761818017811,-0.7880842633342808,-0.9196360192634003,-0.9897334328830232,-0.8635429965517537,-0.8915364578562697
PH0003,0.9317388627586393,1.5344093129243044,1.6413373323347358,0.8144990816871799,0.9335582759235681,0.46083734258502695,-0.1257939714248636,0.2554213052377504,-0.04308426727321346,0.5109124537299634,-0.14626099981625854,1.5513586707639806,-0.37116256879385473,-0.07102161906152477,1.6669854529039339,0.13603030858019835,0.6283410338031771,0.7599575543627117,0.4709061662330509,0.25684291316696833,0.5060324985619562,0.3191270024824291,-0.5371900451897518,-0.5323680677682445,1.0437815020148096,-0.4048541334428178,0.6401256609754702,0.9278750343956834,0.353413799963299,1.5813707023668269
PH0004,1.1007695494669574,0.4864689960761237,0.8435663129850196,0.458427853297643,2.0326996790039833,2.310689288813195,0.9057774498878345,0.4930268601577901,1.2327282394415917,1.9258294644764746,1.0129799431219406,0.7198772067968877,1.2222787811152935,-0.019727073610974855,1.57365996195869,2.0723662389342805,0.7998800116876318,1.6233877234424197,1.3111968893755794,2.362653022922023,2.009497722027644,0.8525923566268594,0.4786744490297688,1.302213654791687,0.9350755213109244,1.258083607357256,0.9723937153822854,2.444713305323671,1.3577019451107373,0.054755415177287096
PH0005,0.8904401173294769,1.5573108390170758,1.6398815370520519,1.743684532004204,2.247483650746324,0.7243843458144671,2.4248848308063824,1.9978684283352153,2.5663394597414424,2.05187358432611,0.7648823951851382,1.3847885833912608,1.0645108389424438,1.760652875598639,1.3113023216219533,1.2992740008810153,1.477906300511938,1.700908449324237,2.3060918190549233,1.1605723027252335,2.1937444548836704,0.5069436891564805,2.2226872120784753,1.007120872528638,1.1543213418644738,1.0260184185660113,1.85320158884747,0.5687359762026309,1.9258182454338626,1.4872721887999754
PH0006,-0.465071431067619,-0.4949460289393841,-0.21958693781613256,-0.26816558047863925,-0.39190972446846856,0.11397025414117326,-0.3916606244938971,-0.7374114181506879,-0.6179598234111395,-0.3618567289730783,-0.21475126054608232,-0.10545490812199797,-0.8691800351558987,-0.08893039518639831,-0.7461607260885466,-0.23970822309983425,-0.14270765696023174,0.05047472328709028,-0.3874705152955674,-0.6963715773110896,-0.3347714416394932,-0.5849069803827407,-0.5663749316187978,-1.0110353695045442,-0.47425839388843627,-1.0496572732508458,-0.0975714909797525,-0.891725930798636,-0.5294825203417148,-0.2515647691591441
PH0007,-0.30973256692092044,-0.14476781153902524,0.32645481205325505,0.1464555636380292,0.08653036761259686,0.17383264168248688,0.0890495963546228,0.2002062514314386,0.17450302794861663,-0.1942601367122567,-0.23148094647117828,-0.3429613659915136,-0.07205136280824885,0.31594745200628227,0.3278620240860441,0.25629437324304905,0.23638249976480186,-0.22648281049625987,0.2198106726203488,0.16444578868242804,0.30664448647873754,-0.09295335175572574,0.3062715065460708,-0.023798577530965974,-0.10871749411149693,-0.540403855724808,0.2563781938109408,0.22212790135124585,0.3268592668487568,-0.7002189256804263
PH0008,-0.9862960289798701,-0.9529933317479358,-1.0857488217658615,-1.073789067598258,-0.9155286338998637,-1.0379423124967386,-1.0190402830475571,-0.8573468266563465,-0.9295435560857495,-1.0126834431780707,-1.1384642570781105,-1.1455303429641002,-0.9783628880871766,-1.1805745613999479,-1.002761057944642,-0.8424053237569941,-0.841439466113911,-1.000233299870537,-0.8384975155098499,-0.7209171276455787,-0.9025220793255487,-0.9108873708987237,-1.0766396991055638,-0.9959579145467871,-0.930926925954479,-1.0538938483118456,-0.880333982115983,-0.9317436376247576,-1.0556427802515103,-0.8305200801193121
PH0009,-0.3644967124104374,-0.24459434548021897,-0.0048602164808909,0.5296161508803056,0.10678112990276456,0.20972568065639216,0.17018437312585186,0.10519582261558118,0.2666979823939617,0.11116111447837572,0.029560705643190643,-0.05819018829939436,-0.1561761029766774,0.1703604868073451,0.4662150020761384,-0.005718064224636006,0.17520756293989376,0.09878476313628955,0.15887585517905187,0.37246018001280873,0.3150359553657437,0.5658998740092521,-0.11335902230265693,-0.13943190788197304,0.09471990906885548,-0.024865197162942915,0.41320547973208777,0.379876924139576,0.6731364130908907,0.3519976113916731
PH0010,0.6045570006775917,-0.39479226641228166,-0.28919518981253545,0.004924544483450781,-0.3299834803637532,-0.2526586788891555,-0.1584006355611905,-0.25496168884600046,-0.14716052635133275,1.0350753206790642,0.6749865516914137,0.6767586964266961,1.5356698958585484,-0.50509708306056,-0.2236362796156712,-0.10044325356222243,0.04970022143373477,-0.30073809854235084,-0.7902657490212325,-0.1364964816917501,-0.6348255248110319,2.2439196803211434,-0.7989823455060816,1.3458622533878828,1.3780402494731907,0.12465708881681244,-0.11859526766345545,-0.5715128242306936,-0.09580292496700754,-0.27173788631990997
